technique,type,n,detection_rate,score_mean
msf_record_mic,NEGATIVE,3,0.6666666666666667,0.8592903828197946
empire_shell_rpc_samr_smb_group_domain_admins_standard_user,NEGATIVE,4,0.5,0.7982051282051283
cmd_discover_iexplorer_version_registry,NEGATIVE,1,0.0,0.6534188034188035
cmd_seatbelt_group_user,NEGATIVE,1,0.0,0.721111111111111
aadinternals_export_adfsdatabaseconfig_remotely,POSITIVE,1,1.0,0.9
covenant_psremoting_grunt,POSITIVE,5,1.0,0.9100000000000001
covenant_sharpsc_start_dcerpc_smb_svcctl,POSITIVE,3,1.0,0.8573856209150327
covenant_wmi_wbemcomn_dll_hijack,POSITIVE,3,1.0,0.8910457516339868
purplesharp_ad_playbook_I,POSITIVE,4,1.0,0.8936181139122317
covenant_sc_query_dcerpc_smb_svcctl,POSITIVE,3,0.6666666666666666,0.7460046924752808
empire_shell_dcerpc_smb_service_dll_hijack,POSITIVE,3,0.6666666666666666,0.8358388803550095
empire_smbexec_dcerpc_smb_svcctl,POSITIVE,4,0.5,0.820465063610225
schtask_create,POSITIVE,2,0.5,0.8583333333333334
