event_id,n_lateral,n_other,p_lateral,p_other,lift,chi2
12,59240,89337,0.300911,0.152283,1.976,12856.93
10,44123,204762,0.224124,0.349035,0.642,5421.16
800,4013,36836,0.020384,0.06279,0.325,3806.82
4103,3522,32231,0.01789,0.054941,0.326,3320.2
11,3595,3077,0.018261,0.005245,3.482,2195.72
4674,523,159,0.002657,0.000271,9.802,721.58
5447,1622,10091,0.008239,0.017201,0.479,592.97
23,1047,979,0.005318,0.001669,3.187,568.47
5158,4008,7174,0.020359,0.012229,1.665,511.15
7,21627,53851,0.109855,0.091794,1.197,373.72
5145,354,180,0.001798,0.000307,5.86,360.16
13,18010,47058,0.091482,0.080215,1.14,168.73
4945,0,494,0.0,0.000842,0.0,124.12
4634,375,522,0.001905,0.00089,2.141,99.32
5379,46,662,0.000234,0.001128,0.207,97.79
4799,11,458,5.6e-05,0.000781,0.072,96.87
4663,3689,8827,0.018738,0.015046,1.245,94.17
4688,281,1652,0.001427,0.002816,0.507,86.26
4661,26,496,0.000132,0.000845,0.156,84.31
4703,1518,6077,0.007711,0.010359,0.744,79.84
4656,4864,12183,0.024707,0.020767,1.19,78.74
8,5,345,2.5e-05,0.000588,0.043,78.23
3,1320,2828,0.006705,0.004821,1.391,74.03
4673,487,2346,0.002474,0.003999,0.619,71.01
4689,257,1393,0.001305,0.002374,0.55,59.9
5157,40,12,0.000203,2e-05,9.933,55.52
4672,354,619,0.001798,0.001055,1.704,49.06
4627,424,789,0.002154,0.001345,1.601,46.63
4624,424,789,0.002154,0.001345,1.601,46.63
5441,0,171,0.0,0.000291,0.0,42.97
4,0,171,0.0,0.000291,0.0,42.97
5858,95,101,0.000483,0.000172,2.803,42.51
28,0,140,0.0,0.000239,0.0,35.18
26,5,171,2.5e-05,0.000291,0.087,34.79
412,1,134,5e-06,0.000228,0.022,31.95
5156,2971,7697,0.015091,0.01312,1.15,31.49
4657,0,115,0.0,0.000196,0.0,28.9
5446,0,106,0.0,0.000181,0.0,26.63
5152,0,99,0.0,0.000169,0.0,24.87
5140,66,78,0.000335,0.000133,2.521,24.57
600,184,328,0.000935,0.000559,1.672,23.82
2004,0,86,0.0,0.000147,0.0,21.61
4946,0,81,0.0,0.000138,0.0,20.35
4957,6,117,3e-05,0.000199,0.153,20.07
4670,81,446,0.000411,0.00076,0.541,19.96
15,38,39,0.000193,6.6e-05,2.904,17.98
4690,4283,11731,0.021756,0.019997,1.088,16.71
4719,0,63,0.0,0.000107,0.0,15.83
4912,0,63,0.0,0.000107,0.0,15.83
4658,8627,24293,0.043821,0.04141,1.058,15.28
16968,0,59,0.0,0.000101,0.0,14.82
4611,4,80,2e-05,0.000136,0.149,13.86
18,310,1203,0.001575,0.002051,0.768,12.95
4697,3,56,1.5e-05,9.5e-05,0.16,9.43
4769,50,80,0.000254,0.000136,1.862,9.2
5154,1311,3488,0.006659,0.005946,1.12,9.18
5857,55,102,0.000279,0.000174,1.607,6.13
400,27,44,0.000137,7.5e-05,1.829,4.7
4106,243,602,0.001234,0.001026,1.203,4.43
9,661,2193,0.003358,0.003738,0.898,4.39
2,180,654,0.000914,0.001115,0.82,4.17
4104,229,570,0.001163,0.000972,1.197,3.97
4798,7,49,3.6e-05,8.4e-05,0.426,3.55
4105,244,623,0.001239,0.001062,1.167,3.14
1,383,1284,0.001945,0.002189,0.889,3.07
17,91,214,0.000462,0.000365,1.267,2.69
4648,11,54,5.6e-05,9.2e-05,0.607,1.74
129,19,83,9.7e-05,0.000141,0.682,1.71
4702,15,66,7.6e-05,0.000113,0.677,1.41
22,192,519,0.000975,0.000885,1.102,1.0
5,327,984,0.001661,0.001677,0.99,0.02
