event_id,total,in_lateral,in_other,share_lateral
10,248885,44123,204762,0.1773
12,148577,59240,89337,0.3987
7,75478,21627,53851,0.2865
13,65068,18010,47058,0.2768
800,40849,4013,36836,0.0982
4103,35753,3522,32231,0.0985
4658,32920,8627,24293,0.2621
4656,17047,4864,12183,0.2853
4690,16014,4283,11731,0.2675
4663,12516,3689,8827,0.2947
5447,11713,1622,10091,0.1385
5158,11182,4008,7174,0.3584
5156,10668,2971,7697,0.2785
4703,7595,1518,6077,0.1999
11,6672,3595,3077,0.5388
5154,4799,1311,3488,0.2732
3,4148,1320,2828,0.3182
9,2854,661,2193,0.2316
4673,2833,487,2346,0.1719
23,2026,1047,979,0.5168
4688,1933,281,1652,0.1454
1,1667,383,1284,0.2298
4689,1650,257,1393,0.1558
18,1513,310,1203,0.2049
5,1311,327,984,0.2494
4624,1213,424,789,0.3495
4627,1213,424,789,0.3495
4672,973,354,619,0.3638
4634,897,375,522,0.4181
4105,867,244,623,0.2814
4106,845,243,602,0.2876
2,834,180,654,0.2158
4104,799,229,570,0.2866
22,711,192,519,0.27
5379,708,46,662,0.065
4674,682,523,159,0.7669
5145,534,354,180,0.6629
4670,527,81,446,0.1537
4661,522,26,496,0.0498
600,512,184,328,0.3594
4945,494,0,494,0.0
4799,469,11,458,0.0235
8,350,5,345,0.0143
17,305,91,214,0.2984
5858,196,95,101,0.4847
26,176,5,171,0.0284
5441,171,0,171,0.0
4,171,0,171,0.0
5857,157,55,102,0.3503
5140,144,66,78,0.4583
28,140,0,140,0.0
412,135,1,134,0.0074
4769,130,50,80,0.3846
4957,123,6,117,0.0488
4657,115,0,115,0.0
5446,106,0,106,0.0
129,102,19,83,0.1863
5152,99,0,99,0.0
2004,86,0,86,0.0
4611,84,4,80,0.0476
4702,81,15,66,0.1852
4946,81,0,81,0.0
15,77,38,39,0.4935
400,71,27,44,0.3803
4648,65,11,54,0.1692
4719,63,0,63,0.0
4912,63,0,63,0.0
16968,59,0,59,0.0
4697,59,3,56,0.0508
4798,56,7,49,0.125
5157,52,40,12,0.7692
53504,50,23,27,0.46
7040,49,26,23,0.5306
7036,49,6,43,0.1224
5061,48,25,23,0.5208
5058,48,25,23,0.5208
4662,46,12,34,0.2609
4660,45,0,45,0.0
4776,38,15,23,0.3947
24,36,6,30,0.1667
104,36,0,36,0.0
6,34,0,34,0.0
4622,30,0,30,0.0
8196,28,28,0,1.0
4768,28,2,26,0.0714
12039,28,28,0,1.0
1102,27,0,27,0.0
263,26,1,25,0.0385
4625,25,7,18,0.28
5450,25,0,25,0.0
40962,23,10,13,0.4348
40961,23,10,13,0.4348
5444,21,0,21,0.0
6416,20,0,20,0.0
24577,20,0,20,0.0
7001,19,0,19,0.0
8197,18,18,0,1.0
4985,18,0,18,0.0
2303,17,0,17,0.0
403,17,10,7,0.5882
5031,16,16,0,1.0
7023,16,0,16,0.0
10005,16,0,16,0.0
5059,13,0,13,0.0
4770,12,1,11,0.0833
5142,12,0,12,0.0
5442,12,0,12,0.0
98,11,0,11,0.0
1001,11,0,11,0.0
4797,10,0,10,0.0
20,9,2,7,0.2222
5449,9,0,9,0.0
16384,9,0,9,0.0
5448,9,0,9,0.0
5860,9,2,7,0.2222
4698,9,3,6,0.3333
4953,9,0,9,0.0
106,9,3,6,0.3333
1014,9,0,9,0.0
2006,7,0,7,0.0
4948,7,0,7,0.0
16,7,2,5,0.2857
4616,7,0,7,0.0
9000,7,0,7,0.0
20523,6,0,6,0.0
255,6,0,6,0.0
21,6,2,4,0.3333
1500,6,4,2,0.6667
258,6,0,6,0.0
330,6,0,6,0.0
4614,6,0,6,0.0
1002,6,0,6,0.0
55,6,0,6,0.0
25,6,0,6,0.0
5136,6,0,6,0.0
5861,6,1,5,0.1667
32,6,0,6,0.0
306,5,2,3,0.4
261,5,0,5,0.0
1149,5,0,5,0.0
7045,5,3,2,0.6
4699,5,0,5,0.0
8193,5,5,0,1.0
8195,5,5,0,1.0
4739,5,1,4,0.2
8194,5,5,0,1.0
6013,4,0,4,0.0
102,4,1,3,0.25
14,4,1,3,0.25
141,4,0,4,0.0
1100,4,0,4,0.0
10016,4,1,3,0.25
19,4,2,2,0.5
40,4,0,4,0.0
2011,4,4,0,1.0
1003,4,0,4,0.0
27,3,0,3,0.0
35,3,0,3,0.0
6006,3,0,3,0.0
6005,3,0,3,0.0
5859,3,0,3,0.0
5382,3,0,3,0.0
42,3,0,3,0.0
6009,3,0,3,0.0
1136,3,0,3,0.0
1074,3,0,3,0.0
109,3,0,3,0.0
50106,3,0,3,0.0
4608,3,0,3,0.0
50036,3,0,3,0.0
50037,3,0,3,0.0
16977,3,1,2,0.3333
50103,3,0,3,0.0
50104,3,0,3,0.0
50105,3,0,3,0.0
153,3,0,3,0.0
2010,3,0,3,0.0
4100,3,0,3,0.0
37,3,0,3,0.0
5381,3,0,3,0.0
6038,3,0,3,0.0
51047,3,0,3,0.0
7026,3,0,3,0.0
105,3,0,3,0.0
4735,3,3,0,1.0
4696,3,0,3,0.0
4956,3,0,3,0.0
5024,3,0,3,0.0
4904,3,0,3,0.0
4905,3,0,3,0.0
4647,3,0,3,0.0
4610,3,0,3,0.0
302,3,0,3,0.0
301,3,0,3,0.0
172,3,0,3,0.0
2002,3,0,3,0.0
51057,3,0,3,0.0
51046,3,0,3,0.0
10149,3,0,3,0.0
7002,3,0,3,0.0
7009,3,2,1,0.6667
8013,3,0,3,0.0
10148,3,0,3,0.0
41,3,0,3,0.0
4944,3,0,3,0.0
4902,3,0,3,0.0
4826,3,0,3,0.0
5033,3,0,3,0.0
54,3,0,3,0.0
103,2,0,2,0.0
4728,2,1,1,0.5
4726,2,1,1,0.5
4729,2,1,1,0.5
327,2,0,2,0.0
2001,2,0,2,0.0
1502,2,1,1,0.5
326,2,0,2,0.0
501,2,2,0,1.0
300,2,0,2,0.0
2008,2,1,1,0.5
16962,2,0,2,0.0
140,2,2,0,1.0
4800,2,0,2,0.0
4779,2,0,2,0.0
4801,2,0,2,0.0
4778,2,0,2,0.0
4724,2,1,1,0.5
4720,2,1,1,0.5
8222,2,0,2,0.0
4954,2,1,1,0.5
7000,2,1,1,0.5
8198,2,0,2,0.0
4007,1,0,1,0.0
1501,1,0,1,0.0
1917,1,0,1,0.0
325,1,0,1,0.0
1013,1,0,1,0.0
700,1,1,0,1.0
701,1,1,0,1.0
1000,1,0,1,0.0
1015,1,0,1,0.0
2003,1,0,1,0.0
16966,1,0,1,0.0
16394,1,0,1,0.0
16963,1,0,1,0.0
201,1,1,0,1.0
200,1,1,0,1.0
2005,1,0,1,0.0
216,1,0,1,0.0
48,1,0,1,0.0
4700,1,0,1,0.0
108,1,1,0,1.0
4742,1,1,0,1.0
100,1,1,0,1.0
44,1,0,1,0.0
47,1,0,1,0.0
43,1,0,1,0.0
10028,1,1,0,1.0
8224,1,0,1,0.0
10010,1,0,1,0.0
